Region,Total Population,Core Audience,Core Index,Acquisition Audience,Acquistion Index,Frasers,Closed HoF,Next,John Lewis,Combined
Inner London,"2,718,900","648,706",1.11,"2,207,466",1.83,0,3,3,6,12
East of England,"5,088,000","1,364,324",1.25,"2,703,033",1.2,2,2,5,6,15
Outer London,"4,558,000","999,637",1.02,"2,409,798",1.19,0,3,3,6,12
North West,"5,739,500","1,389,555",1.13,"2,793,368",1.1,2,2,6,3,13
South East,"7,393,500","1,659,433",1.05,"3,153,203",0.96,3,8,11,7,29
Scotland,"4,478,500","1,034,966",1.08,"1,903,659",0.96,3,1,4,2,10
Yorkshire and the Humber,"4,499,700","965,845",1,"1,768,822",0.89,1,7,7,2,17
East Midlands,"4,049,200","689,617",0.8,"1,574,305",0.88,2,1,3,2,8
West Midlands,"4,695,800","804,585",0.8,"1,788,330",0.86,4,2,4,1,11
North East,"2,284,300","457,959",0.94,"777,944",0.77,1,3,4,1,9
South West,"4,844,200","877,622",0.85,"1,603,330",0.75,1,2,3,2,8
Wales,"2,660,600","454,420",0.8,"849,862",0.72,0,2,1,1,4
London,"7,276,900","1,648,343",1,"4,617,264",1,0,6,6,12,24
