Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose-Sunnyvale-Santa Clara,CA,Metro,18,43250,679914,253310,193482,0.763815088,1470900
"Nantucket, MA Micro Area",Nantucket,MA,Micro,2,12595,5252,2525,1651,0.653861386,1520600
"San Francisco-Oakland-Fremont, CA Metro Area",San Francisco-Oakland-Fremont,CA,Metro,3,4175,1744070,664996,404110,0.607687866,1166000
"Vineyard Haven, MA Micro Area",Vineyard Haven,MA,Micro,0,0,7584,3469,2041,0.588353993,1089200
"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz-Watsonville,CA,Metro,18,43250,96898,36640,20447,0.55805131,1067700
"Jackson, WY-ID Micro Area",Jackson,WY-ID,Micro,0,0,14507,5434,2613,0.480861244,974300
"Kahului-Wailuku, HI Metro Area",Kahului-Wailuku,HI,Metro,3,4175,55881,22924,9021,0.393517711,913000
"Urban Honolulu, HI Metro Area",Urban Honolulu,HI,Metro,18,43250,338868,131538,51753,0.39344524,894400
"Heber, UT Micro Area",Heber,UT,Micro,0,0,28610,15587,6092,0.390838519,884700
"Santa Maria-Santa Barbara, CA Metro Area",Santa Maria-Santa Barbara,CA,Metro,0,0,149608,49675,19404,0.390619024,793100
"Edwards, CO Micro Area",Edwards,CO,Micro,2,2325,22058,9735,3721,0.38222907,806500
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles-Long Beach-Anaheim,CA,Metro,0,0,4499409,1475586,561651,0.38062912,889300
"San Diego-Chula Vista-Carlsbad, CA Metro Area",San Diego-Chula Vista-Carlsbad,CA,Metro,0,0,1171278,444803,156486,0.351809678,872900
"Napa, CA Metro Area",Napa,CA,Metro,1,3300,49763,19658,6887,0.350340828,889600
"Breckenridge, CO Micro Area",Breckenridge,CO,Micro,0,0,15565,7154,2468,0.344981828,702900
"Kapaa, HI Micro Area",Kapaa,HI,Micro,0,0,23632,10176,3179,0.31240173,864600
"San Luis Obispo-Paso Robles, CA Metro Area",San Luis Obispo-Paso Robles,CA,Metro,18,43250,109503,43398,13332,0.307203097,837100
"Key West-Key Largo, FL Micro Area",Key West-Key Largo,FL,Micro,3,9021,34405,10472,3195,0.305099312,794300
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard-Thousand Oaks-Ventura,CA,Metro,6,7600,280360,124064,36482,0.294057906,847000
"Steamboat Springs, CO Micro Area",Steamboat Springs,CO,Micro,2,12595,16671,8010,2343,0.292509363,584900
"Boulder, CO Metro Area",Boulder,CO,Metro,18,43250,137008,56091,16176,0.288388512,766100
