No,Name,Store Type,Closing Year,Postcode
2002,Aylesbury,House of Frasers,Open,HP20 2SP
2004,Belfast,Frasers,Open,BT1 4QG
2006,Birmingham,House of Frasers,Open,B2 5JS
2017,Croydon,House of Frasers,Open,CR0 1TY
2025,Glasgow,Frasers,Open,G1 3HL
2035,Rushden Lakes,Frasers,Open,NN10 6FG
2037,Loch Lomond,Frasers,Open,G83 8QL
2039,Manchester,House of Frasers,Open,M3 2QG
2045,Norwich,Frasers,Open,NR2 1SH
2053,Sutton Coldfield,House of Frasers,Open,B72 1PB
2055,Telford,Frasers,Open,TF3 4BS
2624,Wolverhampton,Frasers,Open,WV1 3NN
2735,Derry,Frasers,Open,BT48 6AP
2962,Cork Mahon Point,Frasers,Open,T12 X7HK
2963,Newbridge,Frasers,Open,W12 H660
3274,Maidstone,Frasers,Open,ME14 1QP
3281,Derby,Frasers,Open,DE1 2PL
3417,Dundee,Frasers,Open,DD1 1UQ
3467,Peterborough,Frasers,Open,PE1 1QA
3484,Meadowhall,Frasers,Open,S9 1EL
3486,Blackpool,Frasers,Open,FY1 4HU
2028,High,House of Frasers,Closed,HP11 2DQ
2011,Cardiff,House of Frasers,Closed,CF10 1TT
2010,Camberley,House of Frasers,Closed,GU15 3GP
2052,Solihull,House of Frasers,Closed,B91 3AT
2027,Guildford,House of Frasers,Closed,GU1 3GH
2048,Reading,House of Frasers,Closed,RG1 2AG
2012,Carlisle,House of Frasers,Closed,CA3 8HU
2009,Bristol,House of Frasers,Closed,BS1 3BD
2003,Bath,House of Frasers,Closed,BA1 1DD
2036,Lincoln,House of Frasers,Closed,LN5 7EA
2059,Worcester,House of Frasers,Closed,WR1 3LD
2007,Bluewater,House of Frasers,Closed,DA9 9SW
2013,Cheltenham,House of Frasers,Closed,GL50 1HP
2020,Doncaster,House of Frasers,Closed,DN1 1NR
2032,Lakeside,House of Frasers,Closed,RM20 2ZP
2044,Nottingham,House of Frasers,Closed,NG1 3HF
